,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Soc Trang,62,VN,1586981307,79,9.6,105.98,80.58,9.06
375,Sola,100,VU,1586981307,81,-13.88,167.55,81.01,15.03
376,Ibipeba,100,BR,1586981051,76,-11.64,-42.01,66.6,8.52
377,Acajutla,24,SV,1586981308,77,13.59,-89.83,84.0,3.0
378,Chifeng,100,CN,1586981308,62,42.27,118.96,45.54,4.88
379,Kathu,20,TH,1586981308,100,7.92,98.33,75.2,1.12
380,Price,90,US,1586981308,23,39.6,-110.81,54.0,5.82
381,Christiana,17,ZA,1586981308,23,-27.91,25.16,57.4,5.5
382,Zhuhai,20,CN,1586981308,93,22.28,113.57,69.01,2.24
383,Teya,31,RU,1586981309,78,60.38,92.63,36.41,2.21
384,Bogorodskoye,78,RU,1586981309,82,56.55,37.88,34.27,8.61
385,Roald,30,NO,1586981309,86,62.58,6.13,42.8,17.22
386,Port Macquarie,40,AU,1586981309,93,-31.43,152.92,59.0,6.53
387,Saint-Pierre,0,RE,1586981309,69,-21.34,55.48,75.2,6.93
388,Half Moon Bay,20,US,1586981310,37,37.46,-122.43,81.0,5.82
389,Borisoglebskiy,56,RU,1586981310,85,57.26,39.15,32.0,8.95
390,Beroroha,1,MG,1586981310,58,-21.67,45.17,77.18,14.45
391,Laguna,1,US,1586981208,37,38.42,-121.42,79.0,4.7
392,Øksfjord,97,NO,1586981310,94,70.24,22.35,37.4,3.8
393,Bathurst,99,AU,1586981248,65,-33.42,149.58,55.0,2.95
394,Marechal Cândido Rondon,0,BR,1586981311,33,-24.56,-54.06,71.6,13.87
395,Nuuk,75,GL,1586981311,96,64.18,-51.72,33.8,33.33
396,Verkhoyansk,100,RU,1586981311,88,67.54,133.38,-0.36,7.63
397,Yangi Marg`ilon,90,UZ,1586981311,76,40.43,71.72,50.0,3.56
398,Acapulco de Juárez,20,MX,1586981311,78,16.86,-99.89,82.4,10.29
399,Puquio,19,PE,1586981311,23,-14.7,-74.13,53.73,10.83
400,Pesnica pri Mariboru,84,SI,1586981312,53,46.61,15.68,48.2,2.24
401,Haines Junction,97,CA,1586981092,66,60.75,-137.51,43.3,6.51
402,Eilat,9,IL,1586981312,25,29.56,34.95,77.0,11.41
403,Buala,97,SB,1586981312,75,-8.14,159.59,83.57,3.91
404,Santa Cruz de la Sierra,75,BO,1586981025,34,-17.8,-63.17,80.6,12.75
405,Alice Springs,0,AU,1586981312,21,-23.7,133.88,60.8,4.7
406,Nome,90,US,1586981312,86,64.5,-165.41,34.0,6.93
407,Tupik,0,RU,1586981313,88,54.43,119.93,25.68,1.61
408,Mumford,47,GH,1586981313,82,5.26,-0.76,82.74,6.82
409,Itaituba,75,BR,1586981313,94,-4.28,-55.98,77.0,1.83
410,Ekenäs,98,FI,1586981313,76,59.97,23.43,37.99,4.0
411,Constitución,100,CL,1586981313,62,-35.33,-72.42,60.46,5.91
412,Bubaque,36,GW,1586981313,67,11.28,-15.83,79.75,17.18
413,Marshall,1,US,1586981213,26,34.38,-86.33,60.01,10.29
414,Zliten,100,LY,1586981314,75,32.47,14.57,64.71,7.63
415,Sioux Lookout,40,CA,1586981314,38,50.1,-91.92,28.4,11.41
416,Umm Kaddadah,0,SD,1586981314,13,13.6,26.69,71.65,12.5
417,Dāhānu,14,IN,1586981314,68,19.97,72.73,80.8,7.11
418,Lake Charles,5,US,1586981314,36,30.21,-93.2,68.0,11.41
419,Timmins,75,CA,1586981036,49,48.47,-81.33,26.6,8.05
420,Luxeuil-les-Bains,9,FR,1586981315,38,47.82,6.37,59.0,5.82
421,Richards Bay,95,ZA,1586981315,77,-28.78,32.04,70.45,2.86
422,Mossamedes,63,AO,1586981315,67,-15.2,12.15,75.74,3.02
423,Severnyy,100,RU,1586981315,60,50.68,36.55,39.2,8.95
424,Ligayan,46,PH,1586981315,70,4.65,119.47,83.12,7.0
425,Bucksport,75,US,1586981315,60,44.57,-68.8,48.0,14.99
426,Mandalgovi,4,MN,1586981315,54,45.76,106.27,30.76,15.7
427,Sombrio,0,BR,1586981316,42,-29.11,-49.62,67.21,9.48
428,Natal,75,BR,1586981316,83,-5.79,-35.21,80.6,2.24
429,Shelburne,20,CA,1586981283,65,44.08,-80.2,39.2,11.41
430,Dongsheng,0,CN,1586981316,38,39.82,109.98,36.77,17.09
431,Dudinka,0,RU,1586981316,60,69.41,86.18,8.6,11.18
432,Nova Viçosa,45,BR,1586981317,83,-17.89,-39.37,79.12,7.67
433,Petrolina,40,BR,1586981035,49,-9.4,-40.5,91.4,3.36
434,Celano,0,IT,1586981317,52,42.09,13.54,52.0,5.82
435,Aktash,50,RU,1586981317,46,50.3,87.73,25.47,2.82
436,Pokhara,59,NP,1586981317,35,28.23,83.98,65.73,3.15
437,Iralaya,40,HN,1586981317,59,15.0,-83.23,91.4,13.87
438,Presque Isle,75,US,1586981318,35,46.68,-68.02,45.0,13.87
439,Sabang,79,ID,1586981318,74,5.89,95.32,82.67,0.96
440,Bellevue,40,US,1586981318,54,47.61,-122.2,64.0,6.93
441,Japura,99,ID,1586981318,96,-0.32,102.35,73.85,0.92
442,Aktau,19,KZ,1586981319,66,43.65,51.2,50.0,13.42
443,Paamiut,100,GL,1586981319,94,61.99,-49.67,32.74,11.23
444,Uarini,84,BR,1586981319,63,-2.99,-65.11,86.94,0.56
445,La Cruz,100,MX,1586981319,37,23.92,-106.9,79.21,10.02
446,Merano,36,IT,1586981320,38,46.67,11.16,59.0,6.93
447,Ghanzi,34,BW,1586981320,25,-21.57,21.78,72.82,6.35
448,Casablanca,40,MA,1586981044,72,33.59,-7.62,64.99,9.17
449,Cavalcante,100,BR,1586981320,72,-13.8,-47.46,69.04,3.58
450,Slave Lake,90,CA,1586981320,80,55.28,-114.77,33.8,5.82
451,Egvekinot,91,RU,1586981320,93,66.32,-179.17,20.16,6.35
452,Lavrentiya,6,RU,1586981320,94,65.58,-171.0,26.83,1.92
453,La Ronge,75,CA,1586981321,39,55.1,-105.28,30.2,16.11
454,Saint Andrews,40,US,1586981321,36,34.05,-81.13,64.99,8.05
455,Macheng,41,CN,1586981321,68,31.18,115.03,61.9,7.27
456,Prince Rupert,40,CA,1586981087,87,54.32,-130.32,46.4,3.36
457,Dawlatabad,0,AF,1586981321,44,36.41,64.91,54.52,5.79
458,Ozieri,0,IT,1586981321,81,40.59,9.0,55.4,1.12
459,Yārāda,16,IN,1586981322,78,17.65,83.27,82.4,3.36
460,Fairmont,40,US,1586981264,34,39.49,-80.14,51.8,13.87
461,Khatukay,87,RU,1586981322,81,45.19,39.67,42.8,2.24
462,Smithers,20,CA,1586981322,57,54.78,-127.17,50.0,2.24
463,Broome,90,US,1586981322,35,42.25,-75.83,46.0,11.41
464,Kano,14,NG,1586981322,24,12.0,8.52,91.4,5.82
465,Chambersburg,1,US,1586981322,29,39.94,-77.66,54.0,5.82
466,Jiayuguan City,72,CN,1586981323,27,39.82,98.3,47.3,6.17
467,Makakilo City,1,US,1586981323,65,21.35,-158.09,80.6,6.93
468,Hondomachi-hondo,100,JP,1586981323,69,32.45,130.2,59.14,6.98
469,La Paz,40,BO,1586981149,21,-16.5,-68.15,60.8,9.17
470,Doka,36,SD,1586981323,13,13.52,35.77,78.96,8.25
471,Gorshechnoye,100,RU,1586981323,70,51.52,38.04,37.18,14.16
472,Tornio,75,FI,1586981324,99,65.85,24.15,32.0,2.24
473,Bengkulu,86,ID,1586981284,81,-3.8,102.27,77.95,3.69
474,Olafsvik,99,IS,1586981324,84,64.89,-23.71,34.72,10.42
475,Chumphon,98,TH,1586981324,86,10.33,98.83,75.33,2.53
476,Ust-Maya,97,RU,1586981324,89,60.42,134.53,20.39,8.03
477,Bambous Virieux,40,MU,1586981324,74,-20.34,57.76,78.8,16.11
478,Zeya,0,RU,1586981324,85,53.75,127.27,32.18,1.99
479,Bontang,93,ID,1586981283,81,0.13,117.5,78.49,7.09
480,Conde,75,BR,1586981325,83,-7.26,-34.91,80.6,8.05
481,Ossora,100,RU,1586981325,97,59.24,163.07,26.17,5.61
482,Llanes,92,ES,1586981325,60,43.42,-4.75,66.99,12.19
483,Auki,100,SB,1586981325,73,-8.77,160.7,83.5,5.17
484,Belmonte,75,BR,1586981325,94,-15.86,-38.88,77.0,3.36
485,Wisconsin Rapids,75,US,1586981325,42,44.38,-89.82,35.6,12.75
486,Les Cayes,31,HT,1586981326,72,18.2,-73.75,81.79,6.44
487,Lensk,100,RU,1586981326,85,60.73,114.93,33.89,4.83
488,Talnakh,0,RU,1586981326,60,69.49,88.4,8.6,11.18
489,Fukuechō,73,JP,1586981326,65,32.69,128.84,59.23,12.75
490,Seminole,20,US,1586981326,69,28.71,-81.21,91.0,12.75
491,Bud,90,US,1586981327,56,39.45,-86.18,46.99,16.11
492,Hambantota,40,LK,1586981327,77,6.12,81.12,80.96,5.08
493,Ostrovnoy,100,RU,1586981327,95,68.05,39.51,32.74,2.82
494,Bukama,78,CD,1586981327,76,-9.2,25.85,72.05,0.74
495,Montepuez,12,MZ,1586981327,86,-13.13,39.0,68.52,3.42
496,Airai,100,TL,1586981327,77,-8.93,125.41,61.18,1.95
497,At-Bashi,100,KG,1586981328,36,41.17,75.81,41.29,3.02
498,Bratsk,20,RU,1586981328,34,56.13,101.61,37.4,2.24
499,Kloulklubed,75,PW,1586981328,94,7.04,134.26,77.0,5.82
500,Doha,75,QA,1586981121,88,25.29,51.53,73.99,5.82
501,Deming,1,US,1586981055,15,32.27,-107.76,64.99,5.82
502,Glenwood Springs,90,US,1586981312,42,39.55,-107.32,46.0,13.87
503,Labuhan,34,ID,1586981328,83,-6.88,112.21,78.42,3.49
504,Vidim,0,RU,1586981329,71,56.41,103.11,34.0,1.79
505,Sosnovka,100,RU,1586981329,81,56.26,51.28,49.53,18.41
506,Mbanza-Ngungu,100,CD,1586981329,78,-5.25,14.87,72.61,2.93
507,Ivanava,65,BY,1586981329,83,52.15,25.54,41.45,12.55
508,Namatanai,100,PG,1586981329,75,-3.67,152.43,81.14,2.66
509,Dauphin,96,CA,1586981329,73,51.15,-100.05,31.73,10.25
510,Inírida,42,CO,1586981330,47,3.87,-67.92,92.34,0.58
511,Lorengau,88,PG,1586981330,73,-2.02,147.27,82.06,1.57
512,Serebryansk,40,KZ,1586981330,70,49.69,83.29,32.0,3.31
513,Korop,97,UA,1586981330,89,51.57,32.96,37.98,13.69
514,Novyy Urgal,0,RU,1586981330,77,51.07,132.56,32.76,1.01
515,Atambua,100,ID,1586981330,82,-9.11,124.89,73.67,2.26
516,Ormara,87,PK,1586981331,64,25.21,64.64,80.06,9.53
517,Novobelokatay,100,RU,1586981331,76,55.71,58.95,39.36,5.41
518,Ahipara,28,NZ,1586981331,74,-35.17,173.17,63.68,16.42
519,Coyhaique,90,CL,1586981331,71,-45.58,-72.07,59.0,4.7
520,Guia Lopes da Laguna,0,BR,1586981331,54,-21.46,-56.11,67.55,4.65
521,Narsaq,75,GL,1586981331,69,60.92,-46.05,39.2,6.93
522,Pec,25,XK,1586981332,45,42.66,20.29,42.8,4.7
523,Sibu,75,MY,1586981332,94,2.3,111.82,77.0,1.21
524,Aden,28,YE,1586981332,77,12.78,45.04,82.85,9.82
525,Flinders,100,AU,1586981332,43,-34.58,150.86,71.6,8.05
526,Byron Bay,2,AU,1586981332,93,-28.65,153.62,60.8,4.99
527,Zyryanka,100,RU,1586981332,93,65.75,150.85,4.41,17.4
528,Lashio,0,MM,1586981333,38,22.93,97.75,65.75,0.67
529,Ceres,1,US,1586981129,22,37.59,-120.96,81.0,3.36
530,Dubai,20,AE,1586981266,88,25.26,55.3,71.6,9.17
531,Oranjemund,1,NA,1586981333,90,-28.55,16.43,57.74,10.45
532,San Pedro de Lloc,0,PE,1586981333,60,-7.43,-79.51,78.13,14.61
533,Havøysund,75,NO,1586981333,80,71.0,24.66,35.6,13.87
534,Huarmey,16,PE,1586981334,60,-10.07,-78.15,79.36,7.65
535,Suntar,100,RU,1586981334,92,62.14,117.63,25.07,6.64
536,Mogadouro,3,PT,1586981334,74,41.34,-6.71,46.65,7.38
537,Youghal,20,IE,1586981335,61,51.95,-7.85,53.01,4.7
538,Khandyga,96,RU,1586981335,87,62.67,135.6,15.8,7.18
539,Guía de Isora,20,ES,1586981335,64,28.21,-16.78,69.8,12.75
540,Riyadh,0,SA,1586981133,68,24.69,46.72,69.8,11.41
541,Sistranda,75,NO,1586981335,80,63.73,8.83,41.0,18.34
542,Aykhal,2,RU,1586981336,65,66.0,111.5,6.8,4.36
543,Vandalūr,0,IN,1586981336,79,12.89,80.08,84.2,2.24
544,Qasigiannguit,75,GL,1586981336,50,68.82,-51.19,30.2,4.7
545,Odesa,40,UA,1586981336,34,46.48,30.73,50.0,11.18
546,Agadez,100,NE,1586981336,11,19.75,10.25,85.62,4.29
547,Sobral,52,BR,1586981062,87,-3.69,-40.35,77.47,1.45
548,Bulgan,0,MN,1586981337,55,48.81,103.53,32.09,2.39
549,Bhandāra,40,IN,1586981337,35,21.17,79.65,86.0,10.29
550,Chute-aux-Outardes,75,CA,1586981337,69,49.12,-68.4,35.6,4.7
551,Benguela,5,AO,1586981337,84,-12.58,13.41,78.6,3.76
552,Kumul,100,CN,1586981338,25,42.8,93.45,63.93,16.82
553,Pokrovskoye,68,RU,1586981338,70,47.42,38.9,42.01,7.0
554,Voyvozh,85,RU,1586981338,89,62.89,54.96,32.05,9.19
555,Gorontalo,75,ID,1586981338,86,0.54,123.06,75.58,2.53
556,Kpandae,65,GH,1586981338,52,8.47,-0.01,87.35,6.08
557,Clyde River,40,CA,1586981339,84,70.47,-68.59,6.8,16.11
558,Saint-François,0,FR,1586981339,51,46.42,3.91,59.0,4.7
559,Lüderitz,0,NA,1586981339,67,-26.65,15.16,62.6,14.99
560,Bodden Town,20,KY,1586981229,70,19.28,-81.25,87.8,10.29
561,Dalbandin,85,PK,1586981339,23,28.89,64.41,72.86,6.96
562,Wilmington,90,US,1586981340,57,34.23,-77.94,54.0,13.87
563,Pangkalanbuun,23,ID,1586981340,88,-2.68,111.62,76.17,1.39
564,Takapau,29,NZ,1586981340,88,-40.03,176.35,55.99,7.0
565,Ubari,100,LY,1586981340,14,26.59,12.78,85.55,6.69
566,Healesville,90,AU,1586981340,72,-37.65,145.52,63.0,8.05
567,Vestmannaeyjar,71,IS,1586981341,74,63.44,-20.27,39.96,17.58
568,Carauari,96,BR,1586981341,66,-4.88,-66.9,84.13,1.52
569,Cap Malheureux,40,MU,1586981341,74,-19.98,57.61,78.8,16.11
570,Kulhudhuffushi,100,MV,1586981341,64,6.62,73.07,85.26,3.13
571,Jacmel,12,HT,1586981341,66,18.23,-72.53,86.0,11.41
572,Jiangyou,9,CN,1586981342,62,31.77,104.72,61.36,2.84
573,Mukhen,0,RU,1586981342,76,48.1,136.1,35.13,4.32
574,Cullera,75,ES,1586981342,93,39.17,-0.25,61.0,5.82
575,Novorozhdestvenskaya,44,RU,1586981342,87,45.86,39.95,38.05,6.82
